coil current (A), R1 (m), R2(m), theta(rad)
100.000,6.068464,16.410172,0.970510
100.000,15.880690,5.575045,1.037372
100.000,13.327185,7.747099,0.947764
100.000,15.318463,6.599332,0.952075
100.000,13.268202,6.661206,1.021145
100.000,14.515393,6.820411,0.968912
100.000,10.293857,11.997486,0.849520
100.000,10.400575,8.589332,1.019508
100.000,5.989945,21.385617,0.827668
100.000,13.193939,6.795306,1.015766
100.000,4.935294,18.401256,1.006260
100.000,6.778931,19.394416,0.818434
100.000,13.354214,7.175119,0.983157
100.000,9.672333,11.385969,0.893310
100.000,9.162090,10.037376,0.994964
100.000,11.167343,7.647866,1.031038
100.000,6.433135,20.645172,0.838913
100.000,7.392070,18.468503,0.821464
100.000,9.808761,9.705893,0.976816
100.000,6.248707,20.161604,0.843339
100.000,6.236959,16.786474,0.922669
100.000,12.605710,9.883813,0.865384
100.000,14.313379,8.021650,0.883961
100.000,15.922058,7.545793,0.861760
100.000,9.297793,12.752152,0.868430
100.000,13.667274,7.753548,0.909682
100.000,12.671294,7.860472,0.959873
100.000,13.657579,8.974356,0.869000
100.000,14.414218,8.918781,0.829161
100.000,6.442381,16.611552,0.928087
100.000,5.123630,21.204922,0.918710
100.000,7.522390,15.894625,0.870308
100.000,10.712890,8.084544,1.008149
100.000,14.534132,9.002055,0.817123
100.000,12.602265,10.476150,0.821376
100.000,13.147200,9.510320,0.846828
100.000,14.333759,6.266728,1.015359
100.000,5.555603,21.485425,0.881336
100.000,8.915298,10.593422,0.994398
100.000,9.326936,11.018506,0.943274
100.000,11.155432,10.392104,0.900315
100.000,9.391674,10.196293,0.975551
100.000,5.974713,16.047627,0.982340
100.000,14.196482,9.492287,0.814073
100.000,14.878683,8.668934,0.852530
100.000,15.489886,8.150581,0.854603
100.000,10.919523,12.600110,0.796101
100.000,12.781008,8.415406,0.928058
100.000,5.343888,25.698328,0.798477
100.000,10.469478,11.355367,0.872821
100.000,11.726615,8.607739,0.965394
100.000,10.338245,11.149655,0.896408
100.000,7.761589,17.742290,0.818323
100.000,5.023143,18.249125,1.004000
100.000,13.685717,6.743784,1.005804
100.000,6.291285,20.773951,0.842075
100.000,16.109078,5.519215,1.009637
100.000,11.286495,9.785800,0.910985
100.000,6.727947,14.979694,0.935266
100.000,6.781932,17.128257,0.886046
100.000,6.995375,20.153546,0.796288
100.000,14.187282,9.382241,0.820349
100.000,14.480656,6.098066,1.023542
100.000,14.694698,7.103113,0.942150
100.000,6.881582,18.778940,0.831798
100.000,11.549879,8.296347,0.981225
100.000,12.985966,8.886438,0.876199
100.000,12.605221,9.065149,0.897776
100.000,7.180488,12.952560,0.991264
100.000,7.560561,12.890926,0.963727
100.000,10.389285,8.484148,1.015295
100.000,10.809520,11.376235,0.866946
100.000,13.631901,7.355394,0.944404
100.000,14.176974,6.680688,0.974015
100.000,13.727777,8.769191,0.851975
100.000,4.964312,21.985606,0.913926
100.000,15.541817,7.142122,0.901384
100.000,6.395288,15.389365,0.965816
100.000,7.813738,15.066145,0.881642
100.000,14.199162,9.844757,0.808705
100.000,12.801636,8.493252,0.905337
100.000,8.136353,15.183485,0.844470
100.000,16.143370,6.211420,0.969028
100.000,13.263368,9.112315,0.863252
100.000,14.052687,6.061176,1.049857
100.000,10.269798,11.371135,0.895049
100.000,7.628534,14.940328,0.894912
100.000,14.850999,9.395459,0.795737
100.000,5.048610,19.478880,0.969005
100.000,13.004377,10.272571,0.810328
100.000,5.300450,16.994653,1.005425
100.000,11.304386,11.060577,0.850774
100.000,5.925547,14.804767,1.016123
100.000,8.652733,16.085871,0.820149
100.000,12.042343,9.991342,0.873466
100.000,9.211004,9.535167,1.031974
100.000,9.071735,11.885759,0.920102
100.000,5.256241,20.308292,0.932356
100.000,14.992794,7.047591,0.932595
100.000,9.685823,12.544972,0.881942
100.000,12.801951,9.669377,0.854769
100.000,5.681488,19.493575,0.902494
100.000,6.263657,15.133267,0.983370
100.000,13.932125,9.659783,0.805480
100.000,8.210301,12.948452,0.934169
100.000,14.424400,9.550721,0.802681
100.000,13.009750,6.762575,1.037331
100.000,10.661530,9.002856,0.967670
100.000,9.712216,9.804360,0.970512
100.000,9.596514,9.752180,0.994929
100.000,5.130221,21.476565,0.898815
100.000,8.602879,13.581083,0.870377
100.000,16.068074,5.318039,1.032277
100.000,12.266654,10.950473,0.809176
100.000,8.689898,11.940216,0.931305
100.000,9.187105,12.772775,0.870194
100.000,8.250251,12.550568,0.940165
100.000,7.220737,18.098116,0.843806
100.000,13.789008,9.026447,0.861208
100.000,6.857227,17.346961,0.856266
100.000,15.363783,7.802784,0.867830
100.000,15.450641,7.416304,0.889653
100.000,6.511129,20.472800,0.827712
100.000,9.656763,13.541585,0.815192
100.000,14.449845,6.996570,0.961980
100.000,6.835474,20.173074,0.788186
100.000,15.223411,7.054298,0.913913
100.000,13.749277,9.414539,0.832226
100.000,10.369707,8.220551,1.047933
100.000,14.175581,6.883879,0.957424
100.000,16.038060,8.521347,0.797350
100.000,14.240932,7.061713,0.949160
100.000,14.874890,7.907479,0.870636
100.000,11.143351,8.248314,1.000951
100.000,11.286851,9.890366,0.898298
100.000,13.266604,8.940199,0.863044
100.000,7.944877,13.715621,0.914266
100.000,12.957023,6.781194,1.029273
100.000,5.741548,18.209311,0.934776
100.000,10.126183,9.593303,0.971868
100.000,9.393868,13.401068,0.837823
100.000,15.012638,6.236559,1.001378
100.000,9.792400,9.182295,1.024969
100.000,12.234954,8.218505,0.960375
100.000,15.246038,8.587240,0.833751
100.000,10.123573,9.817105,0.975641
100.000,9.408806,9.160344,1.050327
100.000,5.291331,17.378694,0.993508
100.000,5.322905,21.117375,0.900986
100.000,16.038989,8.456757,0.804581
100.000,9.193203,9.970219,0.998276
100.000,9.041937,9.623511,1.035140
100.000,7.934352,15.238444,0.864739
100.000,6.438747,16.422210,0.939678
100.000,15.745987,7.380220,0.892079
100.000,15.006844,6.508118,0.967610
100.000,13.961944,7.835556,0.928811
100.000,13.284304,9.013216,0.856884
100.000,8.362468,15.463229,0.847602
100.000,14.461220,7.023595,0.961895
100.000,11.117408,9.180138,0.929810
100.000,9.241867,9.949940,1.005296
100.000,13.383814,9.338893,0.847728
100.000,9.013028,12.104408,0.894357
100.000,11.383911,11.356141,0.830650
100.000,11.801400,12.002343,0.801163
100.000,15.702451,7.078295,0.906864
100.000,8.863553,10.661508,0.986411
100.000,13.184408,10.282830,0.826841
100.000,8.312994,12.216615,0.964372
100.000,9.423862,14.633391,0.796091
100.000,14.808248,8.534093,0.861563
100.000,6.534720,13.125806,1.044913
100.000,8.053991,12.550503,0.959789
100.000,15.991259,8.863663,0.791975
100.000,6.703780,15.282846,0.936869
100.000,14.881293,5.820513,1.035906
100.000,13.239699,9.035230,0.841029
100.000,15.142166,5.604996,1.046635
100.000,16.035238,8.630590,0.803482
100.000,9.114498,9.810937,1.005234
100.000,8.579356,16.221333,0.812583
100.000,15.171650,9.307519,0.810615
100.000,9.377804,14.076863,0.834313
100.000,14.527695,7.882247,0.887340
100.000,15.165618,6.066590,1.012207
100.000,14.777982,6.449699,0.991415
100.000,8.194328,15.314712,0.848300
100.000,7.356897,12.031243,1.026613
100.000,15.808182,5.440871,1.047109
100.000,8.177099,16.124420,0.823471
100.000,10.827117,8.547434,0.986216
100.000,12.387466,7.955496,0.960815
100.000,14.552809,9.292872,0.814745
100.000,7.106315,12.962027,1.010191
100.000,7.235034,11.931773,1.043759
100.000,11.979959,11.814092,0.778635
100.000,11.182378,9.039167,0.947462
100.000,11.695608,8.001295,1.000249
100.000,6.431718,13.412509,1.049050
100.000,15.559956,8.799040,0.807716
100.000,14.985044,6.208618,0.994993
100.000,5.527278,4.710562,1.034014
100.000,13.390688,12.843583,0.895354
100.000,13.897032,7.832388,0.995117
100.000,9.339781,3.617419,1.051624
100.000,13.082813,7.087217,0.983687
100.000,10.570541,4.220397,0.925429
100.000,8.049360,4.505803,1.057979
100.000,14.810923,9.145782,1.024309
100.000,6.624606,38.715255,0.816476
100.000,7.330165,10.862279,0.965573
100.000,10.084479,4.303240,0.955489
100.000,15.857872,7.105972,1.010969
100.000,7.290535,12.660200,1.014776
100.000,9.067041,9.241903,1.055061
100.000,11.391909,16.152258,1.007634
100.000,11.309117,6.019069,0.828146
100.000,12.109202,6.898740,0.965854
100.000,5.461579,11.696756,0.806184
100.000,7.933125,10.765581,0.938848
100.000,8.218923,15.301560,0.979816
100.000,5.908354,4.188349,0.979154
100.000,14.276592,10.030274,0.829148
100.000,10.089959,25.432297,0.828561
100.000,15.560730,13.784863,0.800511
100.000,9.012968,22.862876,0.878516
100.000,7.022845,11.262167,0.887337
100.000,6.136001,11.114742,0.820154
100.000,10.993905,5.937576,1.006314
100.000,9.134234,19.078301,0.830622
100.000,7.969716,12.737926,0.935400
100.000,5.184934,24.071127,0.894613
100.000,12.959924,2.051896,0.991455
100.000,9.007949,17.644567,0.935926
100.000,9.553666,22.977552,0.919013
100.000,9.501836,4.105487,0.967266
100.000,7.906205,15.190284,0.855519
100.000,4.944896,10.889436,0.981736
100.000,11.524022,3.351279,0.885657
100.000,11.934209,2.696647,0.859641
100.000,8.475039,32.710331,0.843879
100.000,8.820312,23.490644,0.924229
100.000,15.822735,6.519643,0.938596
100.000,7.006047,33.673263,0.853144
100.000,10.185379,5.833965,1.023615
100.000,14.180888,4.161737,0.963040
100.000,12.998913,11.377798,1.004629
100.000,15.731025,3.949751,0.910236
100.000,5.072713,30.953131,0.956377
100.000,12.852039,12.097973,0.872121
100.000,10.698171,6.129302,1.032558
100.000,13.594992,12.877348,0.875488
100.000,7.717894,26.033093,0.937208
100.000,6.545923,31.100740,0.915444
100.000,14.333723,8.377252,0.837449
100.000,11.245988,17.877463,0.882385
100.000,11.970054,7.962217,1.042472
100.000,11.810682,2.619363,1.012889
100.000,15.938862,4.540741,0.973487
100.000,9.826852,4.729711,0.906386
100.000,9.561782,17.714359,0.801552
100.000,14.197276,10.061104,0.951484
100.000,14.277174,2.480044,1.034408
100.000,13.521636,16.702856,0.920291
100.000,9.823558,21.617948,0.828799
100.000,5.329793,41.771357,0.949376
100.000,10.676031,21.647907,0.910670
100.000,8.282608,22.578681,0.866284
100.000,16.159023,3.323184,0.955440
100.000,10.946604,4.629236,0.986336
100.000,12.498809,13.852762,1.035552
100.000,13.089855,16.566098,0.986438
100.000,9.390480,6.191966,0.943361
100.000,10.368559,16.978968,1.001422
100.000,8.435208,9.088031,0.946074
100.000,6.654363,5.589885,0.975117
100.000,9.196871,9.894000,1.033675
100.000,6.510640,4.356505,1.004283
100.000,12.327055,5.483108,0.965313
100.000,5.575275,16.970602,0.816183
100.000,8.008989,11.751437,1.013612
100.000,13.394825,7.264327,0.853337
100.000,6.861735,9.285718,0.928851
100.000,7.039241,11.982032,0.804775
100.000,14.338150,8.978555,0.952262
100.000,13.247538,8.613036,0.898599
100.000,13.146307,1.814892,1.027609
100.000,9.827096,8.707687,0.873320
100.000,15.279439,1.990008,1.009843
100.000,9.864789,2.611786,1.037300
100.000,15.333437,5.031580,0.863570
100.000,5.291029,40.494231,0.855121
100.000,5.150271,40.363083,0.829996
100.000,13.850775,5.135551,0.862013
100.000,6.197927,31.464644,0.984706
100.000,7.149026,39.510741,0.791129
100.000,8.222426,17.958076,0.965501
100.000,14.540104,10.371305,1.020787
100.000,12.775802,8.265240,0.855692
100.000,10.777411,22.986652,0.843269
100.000,10.584207,9.725566,0.956686
100.000,10.622249,4.140954,0.871853
100.000,14.134960,11.151621,0.897956
100.000,9.436195,8.740295,1.012851
100.000,6.592555,24.876488,0.835831
100.000,14.895331,2.455393,0.925093
100.000,6.783134,15.226320,0.955215
100.000,7.661012,16.837898,0.856645
100.000,8.068452,5.015587,0.972237
100.000,9.980926,2.435566,1.031575
100.000,9.672511,20.207266,0.860792
100.000,15.241856,4.299421,0.813772
100.000,14.644290,7.191715,0.883996
100.000,9.055107,19.500121,0.962470
100.000,10.954776,2.548897,1.031874
100.000,11.881018,3.203834,0.802568
100.000,5.568499,6.423620,0.821274
100.000,6.993589,34.296506,0.833226
100.000,14.732182,9.191140,0.839748
100.000,10.924889,15.839734,0.868339
100.000,14.379697,9.691538,0.969525
100.000,11.575209,10.373423,0.985239
100.000,7.156329,4.704153,0.877232
100.000,9.225304,12.780612,0.960795
100.000,11.326025,14.259445,1.025374
100.000,8.923766,14.092343,0.831079
100.000,16.162800,6.362121,0.950921
100.000,6.338486,21.812663,1.022431
100.000,15.725380,2.834013,1.028879
100.000,13.761549,14.596406,0.904156
100.000,5.180146,12.223665,0.812277
100.000,5.449307,9.633479,0.958772
100.000,16.100433,9.659727,1.010863
100.000,5.055550,15.725418,0.838847
100.000,14.134468,4.654686,0.798742
100.000,10.474962,4.305821,0.899806
100.000,8.477990,15.157555,0.996941
100.000,9.147872,6.512127,0.925684
100.000,15.065071,5.300785,1.003751
100.000,14.967137,7.638811,0.996384
100.000,6.633118,22.550577,0.831068
100.000,10.738336,7.698367,1.037203
100.000,12.785026,2.312353,0.884501
100.000,15.164602,5.370803,1.053968
100.000,9.237834,9.073552,0.888244
100.000,15.361743,2.667611,1.022342
100.000,16.245262,16.395767,0.881466
100.000,15.895858,7.028325,0.962025
100.000,13.671840,11.559184,0.815689
100.000,5.701306,15.376386,0.911244
100.000,11.926722,13.753755,0.797245
100.000,5.021219,11.578389,0.802774
100.000,16.141345,17.460975,0.796425
100.000,14.385289,6.677933,0.885937
100.000,14.275131,18.328617,0.789070
100.000,13.069098,17.456078,0.890429
100.000,12.463974,6.903832,0.950615
100.000,7.113490,4.643480,1.036012
100.000,12.895747,2.204929,0.966618
100.000,12.441743,5.512099,0.924528
100.000,4.954546,9.488735,0.999724
100.000,13.788104,15.074234,0.861861
100.000,7.644411,8.873980,0.833011
100.000,9.332243,18.920254,1.020817
100.000,16.091553,8.947238,0.963883
100.000,9.240955,25.462855,0.928567
100.000,9.335025,14.823482,1.030834
100.000,9.537514,16.717342,0.940266
100.000,14.675056,2.062153,0.875307
100.000,7.477559,7.662831,1.008638
100.000,14.971146,5.778959,0.778729
100.000,14.725772,12.288946,0.939399
100.000,6.170788,30.898143,1.004606
100.000,14.523155,7.251535,0.908936
100.000,12.848272,20.987265,0.840136
100.000,7.609197,26.670108,0.995142
100.000,14.165862,4.088379,0.851915
100.000,6.424002,33.174671,0.865429
100.000,6.169557,25.161674,0.979113
100.000,15.595310,6.891794,0.830170
100.000,12.246356,17.869832,0.826607
100.000,8.544674,3.237468,1.046207
100.000,10.012863,15.530113,0.821938
100.000,11.085266,19.054207,0.994132
100.000,11.998533,17.043873,0.870124
100.000,9.124412,12.843373,1.031383
100.000,14.758947,18.936776,0.800513
100.000,12.656206,2.213256,0.980974
100.000,15.661869,5.256421,0.899512
100.000,15.108475,9.183978,0.948466
100.000,14.421946,12.113418,1.022325
100.000,10.453511,3.045090,0.933036
100.000,6.316401,11.964816,0.857780
100.000,8.297706,8.985326,1.003430
100.000,16.254415,2.140880,0.956182
100.000,5.672799,9.242411,0.801295
100.000,5.499592,21.111707,0.894134
100.000,6.842670,13.794043,0.888059
100.000,10.285160,9.158001,0.964741
100.000,10.543306,23.390109,0.884976
100.000,15.080877,17.375386,0.873438
100.000,15.097541,6.695608,0.995502
100.000,5.328562,45.643547,0.897539
100.000,5.555781,9.092321,0.855481
100.000,5.447876,9.601039,0.941713
100.000,14.335743,10.575812,0.889074
100.000,11.753808,9.349376,0.854316
100.000,9.861221,9.125709,0.863661
100.000,10.905532,9.579718,0.946527
100.000,12.293116,6.584849,0.855133
100.000,9.113883,6.531077,0.956212
100.000,13.508888,5.947381,0.954683
100.000,12.495843,2.427536,1.003053
100.000,11.381419,3.932977,0.910043
100.000,5.102875,4.937617,0.975535
100.000,10.878290,20.255233,0.909235
100.000,14.735301,16.290004,0.845640
100.000,14.424278,7.340028,0.987456
100.000,14.251675,3.987268,0.973743
100.000,5.577492,17.086393,0.921950
100.000,15.912142,3.265438,0.827538
100.000,5.999782,42.007519,0.862459
100.000,12.774657,1.800909,1.028107
100.000,12.199438,8.091182,1.025077
100.000,8.833575,17.305392,0.986212
100.000,9.890365,4.956134,0.955204
100.000,11.554715,8.521374,0.966510
100.000,14.503889,2.377224,0.924400
100.000,9.162014,11.694978,1.007619
100.000,14.552327,4.544887,1.059980
100.000,15.021036,11.094921,0.861811
100.000,14.668670,3.860136,0.971819
100.000,15.573891,4.049986,1.013175
100.000,11.537885,19.744716,0.814877
100.000,15.586796,5.582646,0.946029
100.000,10.414629,2.773724,0.939157
100.000,6.442549,24.937161,0.984901
100.000,12.980968,3.675799,0.819966
100.000,11.181452,3.226695,0.879301
100.000,9.130612,26.639188,0.902457
100.000,6.584496,27.497245,0.970481
100.000,13.883277,12.052480,1.025513
100.000,15.170859,9.951623,1.001865
100.000,13.811488,8.240346,0.805766
100.000,9.467100,8.812863,1.010214
100.000,6.382258,18.323199,0.862651
100.000,5.021856,8.572380,0.913457
100.000,10.846966,15.474187,0.973247
100.000,14.204727,8.245221,1.028966
100.000,5.269198,24.266063,1.013486
100.000,16.079775,2.752053,0.964952
100.000,9.044345,27.814746,0.811178
100.000,14.188291,10.053955,1.016616
100.000,8.932880,8.766206,0.876420
100.000,11.650994,2.340335,0.974487
100.000,14.352613,4.115465,0.815847
100.000,9.912938,13.522162,0.821309
100.000,7.315512,6.814886,0.882752
100.000,13.333105,14.104092,1.018826
100.000,7.486661,10.216439,0.989415
100.000,8.567435,3.960096,0.925054
100.000,15.540306,10.780928,0.933391
100.000,5.612989,21.989162,1.029850
100.000,8.482049,19.219574,0.914281
100.000,14.803300,7.924935,0.891050
100.000,5.787111,17.415141,0.917332
100.000,10.484346,4.981275,0.850396
100.000,14.117154,6.179021,0.790197
100.000,15.133566,4.322721,0.969974
100.000,6.417000,25.692973,1.027604
100.000,11.395643,3.077822,0.964509
100.000,12.767334,15.502269,0.931602
100.000,8.448013,3.878050,0.991774
100.000,12.220546,23.930103,0.809887
100.000,14.731356,7.560310,0.886210
100.000,9.718454,16.146866,1.056697
100.000,9.300882,11.393002,0.915951
100.000,14.573649,14.254836,0.973893
100.000,6.364871,15.642403,0.805685
100.000,7.201324,24.663550,0.863439
100.000,10.121470,23.351429,0.798529
100.000,5.768138,6.357946,0.819812
100.000,15.376723,2.274673,0.981495
100.000,5.028869,7.757015,1.034777
100.000,5.002921,21.428301,1.017589
100.000,8.178139,30.624655,0.878072
100.000,15.713821,11.810196,0.981216
100.000,12.523253,6.934730,0.785384
100.000,12.078097,21.743479,0.883567
100.000,15.728798,2.775488,0.821292
100.000,8.886614,16.250463,0.813166
100.000,15.604406,14.341583,0.944414
100.000,14.360796,9.527078,0.921189
100.000,8.690278,15.387026,0.787620
100.000,9.933481,14.233096,0.940647
100.000,12.638167,1.783828,1.018087
100.000,12.856558,8.578933,0.816997
100.000,6.727581,7.459689,0.841644
100.000,10.155617,8.311387,0.901951
100.000,14.843388,6.700490,0.889420
100.000,5.309574,5.548770,0.992952
100.000,14.709799,11.833512,0.925816
100.000,14.351072,14.353012,0.879111
100.000,5.402182,26.861528,1.043406
100.000,10.452372,3.020955,0.982264
100.000,8.058934,20.143161,1.019162
100.000,15.663595,2.166745,1.036620
100.000,7.803116,15.086053,0.837211
100.000,6.295310,4.795894,0.919507
100.000,11.093025,13.421196,0.805586
100.000,9.543580,2.773219,0.985242
100.000,16.194754,1.556218,0.987591
100.000,6.373372,10.861848,1.032844
100.000,16.119315,1.418452,1.042313
100.000,10.732575,9.584355,0.897804
100.000,5.276006,5.086596,1.029725
100.000,15.194443,6.252691,0.921727
100.000,8.061132,23.895173,0.953129
100.000,9.050970,15.273273,0.932197
100.000,15.464513,3.000659,0.973806
100.000,8.177291,9.265704,0.947188
100.000,7.061719,19.976698,1.030821
100.000,7.456798,37.579817,0.834410
100.000,5.542953,6.007601,0.983032
100.000,7.767043,8.568361,0.879080
100.000,5.162214,12.320557,1.042694
100.000,5.081217,13.279846,0.997790
100.000,6.823147,3.965467,1.034538
100.000,6.805142,26.493947,0.874130
100.000,14.113758,15.462667,0.945643
100.000,13.354822,4.224956,0.882145
100.000,10.569833,10.262681,0.864853
100.000,15.321010,9.567021,0.889315
100.000,16.191290,3.518366,0.886760
100.000,14.025638,4.277522,1.033205
100.000,15.532669,10.099768,0.819614
100.000,9.502992,10.518679,0.899150
100.000,16.135126,8.491328,0.819150
100.000,5.926275,23.538272,0.983474
100.000,13.669057,11.662980,1.028326
100.000,10.420193,19.347627,1.021453
100.000,7.092901,7.648322,1.023796
100.000,12.004235,7.910944,0.912338
100.000,6.480931,18.407466,0.869171
100.000,14.613069,12.634001,0.952518
100.000,7.101961,9.090133,0.915328
100.000,12.051432,3.723632,0.849531
100.000,12.280666,16.947920,0.960920
100.000,13.292775,10.498350,0.835032
100.000,6.325122,29.505419,1.011837
100.000,14.609726,1.834903,1.014352
100.000,7.789622,35.194966,0.804840
100.000,8.116268,6.159282,0.938472
100.000,12.192629,9.773631,0.997030
100.000,12.684802,8.543456,0.820354
100.000,7.280183,6.758695,0.900563
100.000,7.543155,4.127305,0.970519
100.000,12.433773,11.306557,0.970108
100.000,14.680010,7.235438,0.877479
100.000,11.674663,3.638263,0.813206
100.000,6.566386,8.624526,1.016045
100.000,11.184328,2.153735,1.004611
100.000,11.697526,7.796417,1.047916
100.000,10.241497,12.250178,1.046051
100.000,6.592019,27.998600,0.965103
100.000,14.064423,13.044006,1.039598
100.000,11.017633,6.130571,0.943155
100.000,14.433859,12.146815,1.054696
100.000,10.832794,18.366653,0.887302
100.000,15.969584,9.498545,0.926230
100.000,9.844064,7.379745,0.859689
100.000,6.578834,15.539033,0.969769
100.000,6.540123,9.219212,0.995775
100.000,13.440936,4.160781,0.903867
100.000,7.122790,4.203192,0.997086
100.000,7.835031,5.580785,0.953279
100.000,15.408870,10.056876,0.957719
100.000,13.315835,10.952365,0.835275
100.000,9.911984,11.649788,1.026572
100.000,14.542417,12.423850,1.029388
100.000,11.191520,2.390182,1.021896
100.000,16.252707,2.202264,1.000208
100.000,5.368570,6.477626,1.033135
100.000,14.115775,5.748223,0.885936
100.000,10.646024,17.756465,0.971768
100.000,13.497106,10.052700,0.834658
100.000,6.305987,12.298293,1.009847
100.000,8.055324,27.770657,0.845106
100.000,12.382563,4.584636,0.966345
100.000,6.655467,8.650568,1.020898
100.000,5.327116,46.743456,0.856235
100.000,15.300813,4.508664,0.943292
100.000,9.401286,6.022716,0.919547
100.000,9.059034,8.765412,0.795176
100.000,9.914652,16.646140,0.968401
100.000,12.125372,5.436556,1.010202
100.000,12.703327,7.347385,0.795647
100.000,14.486644,5.218602,1.031180
100.000,15.324714,3.250757,0.948691
100.000,14.676203,13.208515,1.018527
100.000,5.664606,37.078350,0.966834
100.000,6.743898,26.975563,0.955264
100.000,13.616014,5.637655,0.876855
100.000,10.118868,7.173093,0.903204
100.000,16.251171,9.844957,0.884162
100.000,15.791628,11.240471,0.951137
100.000,12.086990,4.891641,0.962691
100.000,5.391372,14.105051,0.939548
100.000,10.211105,8.513588,0.802905
100.000,13.062981,8.029786,0.797323
100.000,13.399258,14.567172,0.833095
100.000,14.261759,3.807297,0.974964
100.000,8.539092,5.396421,0.857795
100.000,14.110112,2.064487,0.953930
100.000,11.741146,3.486057,1.030572
100.000,13.591312,11.851987,1.028451
100.000,13.754250,2.164357,0.927305
100.000,10.681548,3.371440,0.916643
100.000,8.771204,18.085251,1.002251
100.000,6.257036,19.264632,0.980809
100.000,13.130012,2.623924,0.868803
100.000,12.937011,13.287432,0.788848
100.000,15.369445,5.342657,0.944575
100.000,7.503056,34.552828,0.873901
100.000,9.541666,11.177537,1.001893
100.000,10.275244,3.331906,0.940504
100.000,8.120270,5.875719,0.994975
100.000,11.093960,21.998005,0.845983
100.000,10.451909,4.358352,0.928443
100.000,5.347915,5.070034,0.985335
100.000,12.715481,2.206914,0.999711
100.000,15.049082,17.252617,0.825569
100.000,9.590739,3.976227,0.884294
100.000,7.344696,19.619606,0.919697
100.000,13.007577,5.030481,0.805077
